t,Q,n_cl,lcf,nullQ,ARI,edge_jac,sigv2,file,case,seed,alpha,s_ratio,chi,ari_floor
128000.0,0.910473977563173,17,0.933,,0.5657134619421543,0.3654437187860161,3.669366551830885e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
130000.0,0.9130030587144369,17,0.9375,,0.5160809326484541,0.37210637076717046,3.1565913242289545e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
132000.0,0.9129196740507677,14,0.93825,,0.5922743180647041,0.36767386091127097,3.518370905969359e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
134000.0,0.9117470222961452,17,0.93625,,0.5126623121594913,0.3690362138340678,3.788540783305357e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
136000.0,0.914272087735934,11,0.9415,,0.5468966727677078,0.36623227290149485,4.05141764105603e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
138000.0,0.9108922603078943,12,0.9455,,0.5495066515026237,0.37234449760765553,3.513356683104301e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
140000.0,0.9104646659490557,13,0.9475,,0.5273607420098787,0.36907611297271425,3.5182862449800025e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
142000.0,0.9116928246405399,24,0.9415,,0.5617849280460241,0.3541485138929228,3.896820204658904e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
144000.0,0.9124182070381226,20,0.946,,0.5616230336445756,0.3645772876765332,5.145005426646696e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
146000.0,0.9107422738230233,18,0.944,,0.5491228879299194,0.3676866820631255,4.5934806186217426e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
148000.0,0.9098152138007289,21,0.942,,0.5432933508257457,0.3679815721278433,4.118622633586535e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
150000.0,0.9111153893642716,23,0.943,,0.5464507757328019,0.3594550198086771,5.318848218115005e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
152000.0,0.9080675505112853,21,0.9455,,0.5567021362076296,0.36229365768896615,4.659567797683528e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
154000.0,0.9100811382571239,22,0.94375,,0.481910530894916,0.35861936352273815,4.42953644768853e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
156000.0,0.9072922333421386,21,0.94725,,0.5096451534772128,0.3435932072558857,4.388431350092808e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
158000.0,0.91028451038642,21,0.94925,,0.5476533838155636,0.3425029058504455,3.629986239187582e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
160000.0,0.9098160752660696,20,0.951,,0.5513809154323681,0.34925373134328364,3.2872790544599746e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
162000.0,0.9089738331698791,22,0.95,,0.5203094299706066,0.34893780640199945,3.3445527099674214e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
164000.0,0.910435394259827,23,0.95275,,0.5051589570821946,0.35823901784001533,4.253354134979377e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
166000.0,0.9090809043118274,21,0.9615,,0.502642582974042,0.3563185227928448,4.4262771233652674e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
168000.0,0.909902275737968,15,0.96225,,0.4724211615741447,0.36102849467523745,3.748715178432936e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
170000.0,0.911715287415233,13,0.96375,,0.5114873819862155,0.3578967568604874,3.381150092424065e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
172000.0,0.9085922762332074,14,0.954,,0.5204890536642481,0.3448773448773449,3.228995734848881e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
174000.0,0.9092991477536796,16,0.961,,0.5165419109332341,0.3524598055261384,2.8115682731311636e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
176000.0,0.909253101597149,22,0.96175,,0.4940423879293902,0.35730141878197086,2.9945238238579594e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
178000.0,0.9075121351561288,17,0.963,,0.522374294886478,0.3515505359877489,3.1674179394238846e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
180000.0,0.9086437119388806,23,0.918,,0.5222861576253988,0.3402230340319169,3.207060774644253e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
182000.0,0.9088759352012108,19,0.9645,,0.5533618851284725,0.35086872586872586,3.4165634420375506e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
184000.0,0.9085797593095583,19,0.95275,,0.49021203047185297,0.3582290664100096,3.67195236509583e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
186000.0,0.907595540181821,18,0.9605,,0.4891641318063462,0.3534964361394721,3.1278925603634283e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
188000.0,0.9082599991598403,16,0.96275,,0.5475733969393253,0.35498084291187737,3.3377230214238245e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
190000.0,0.9093379074127405,18,0.95975,,0.542984327681221,0.3466756470701433,3.171214822076816e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
192000.0,0.9101093719498536,19,0.95775,,0.5393594125924163,0.3622326651961254,3.137017454382835e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
194000.0,0.9075628661562333,21,0.9475,,0.49743888423854044,0.358097068716963,3.83990566097242e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
196000.0,0.9083377892248197,18,0.948,,0.5278984251326142,0.3473481195756991,3.865762808938183e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
198000.0,0.9079378413698587,18,0.949,,0.45848822022306407,0.34408186908669625,3.861889528755902e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
200000.0,0.9087016001093334,18,0.9445,0.5021701387699213,0.5376963586888808,0.3494649571001639,3.371548877582381e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
202000.0,0.9090896434562699,19,0.9145,,0.46149545796680197,0.3406921816253735,3.7740579711447265e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
