chi,chi2,seed,J1,J2,N
0.5,0.75,2022,-5.990571551228044e-06,-0.00014746004420180397,1000
0.25,0.5,2022,-8.020773745873141e-06,-0.00015782597291025854,1000
0.75,0.5,2022,-4.642834183728508e-06,-0.0001647731128636351,1000
0.5,0.25,2023,-5.278604734296941e-06,-0.00013385389965739737,1000
0.5,0.75,2023,-3.926049434385509e-06,-0.00011296411763306083,1000
0.25,0.5,2023,-7.083900392729786e-06,-0.00012734913704349837,1000
0.75,0.5,2023,-1.0463061157008241e-06,-0.0001226515563225522,1000
0.5,0.25,2024,-7.561538169875699e-06,-0.00016880703382747604,1000
0.5,0.75,2024,-6.358897920418878e-06,-0.0001422034231028792,1000
0.25,0.5,2024,-8.890528480941249e-06,-0.00015718587409833452,1000
0.75,0.5,2024,-4.8040078628907864e-06,-0.0001563325480086003,1000
0.5,0.25,2025,-5.650868024032548e-06,-0.00016732776975550903,1000
0.5,0.75,2025,-4.424592080617451e-06,-0.00014175755580664445,1000
0.25,0.5,2025,-7.398682699728515e-06,-0.00015276160332637536,1000
0.75,0.5,2025,-2.2557400021675223e-06,-0.0001532770011691579,1000
0.5,0.25,2026,-8.087179626722368e-06,-0.0001784578351378344,1000
0.5,0.75,2026,-6.965750602762182e-06,-0.00015185471468772018,1000
0.25,0.5,2026,-8.813984497826588e-06,-0.00016044792741618877,1000
0.75,0.5,2026,-5.914131193701136e-06,-0.00017076658046044968,1000
0.5,0.25,2027,-6.224947738582339e-06,-0.00016658506616320712,1000
0.5,0.75,2027,-4.716510540555832e-06,-0.00014086723351384637,1000
0.25,0.5,2027,-8.087841822839316e-06,-0.00015351312317498644,1000
0.75,0.5,2027,-2.7192903152857767e-06,-0.00015457267474280813,1000
0.5,0.25,2028,-6.687151455789236e-06,-0.00016196851154226606,1000
0.5,0.75,2028,-5.237364258950161e-06,-0.00013726262954178814,1000
0.25,0.5,2028,-7.896392179678545e-06,-0.000150282507427183,1000
0.75,0.5,2028,-2.9258463222618443e-06,-0.00015238048828592637,1000
0.5,0.25,2029,-5.732775896830911e-06,-0.00014186159155540746,1000
0.5,0.75,2029,-4.448070936776707e-06,-0.00012028105990437109,1000
0.25,0.5,2029,-7.361670107781453e-06,-0.0001309600605506811,1000
0.75,0.5,2029,-2.007180493412885e-06,-0.00013262739506524128,1000
0.5,0.25,2030,-6.036480926855255e-06,-0.00015680360602499913,1000
0.5,0.75,2030,-4.5039929626844535e-06,-0.00013226714327497835,1000
0.25,0.5,2030,-8.175019606082503e-06,-0.00014685265257115865,1000
0.75,0.5,2030,-1.1474938913177381e-06,-0.00014369702352453633,1000
0.5,0.25,2031,-4.494438966139861e-06,-0.00015614508382299456,1000
0.5,0.75,2031,-2.9405599194294112e-06,-0.00013266615333015847,1000
0.25,0.5,2031,-6.575847513042174e-06,-0.0001444772790554312,1000
0.75,0.5,2031,-3.1080346636371476e-07,-0.00014859568071279484,1000
0.5,0.25,2032,-7.1351123972521105e-06,-0.00015833539564445286,1000
0.5,0.75,2032,-5.832735807116205e-06,-0.00013375010485858256,1000
0.25,0.5,2032,-8.284597885317061e-06,-0.00014958555729922685,1000
0.75,0.5,2032,-3.801968174324807e-06,-0.00014673644240443973,1000
0.5,0.25,2033,-6.5991758830332335e-06,-0.00016527924340295662,1000
