file,chi,N,seed,L,dt,nsnap,t_window,dUdt,epr,epr_sem,a_tilde,a_tilde_sem,b_tilde,b_tilde_sem,Qs,Qs_sem
bidisperse_a0.005_sr0.667_x5_N4000_L24_T800000_seed2.npz,5.0,4000,2,24.0,0.05,101,400000.0,-2.0817988745743977e-06,0.07071884939688126,0.004445679448610853,0.02809076717769581,4.2450121241810715e-05,-0.12631006600910277,0.0009508993557362126,11.513675115273244,0.11442283073240446
bidisperse_a0.005_sr0.667_x8_N4000_L24_T800000_seed1.npz,8.0,4000,1,24.0,0.05,101,400000.0,-3.4191539168839955e-07,0.16750974152239956,0.008268311076566505,0.029112596917032,5.348397185726568e-05,-0.2119620576459561,0.0010804038022561445,16.00463202561387,0.14243002955809136
bidisperse_a0.005_sr0.667_x5_N4000_L24_T800000_seed3.npz,5.0,4000,3,24.0,0.05,101,400000.0,2.122049096069458e-07,0.05881806202641853,0.0045975219226208385,0.027444274014471776,4.7153378449340944e-05,-0.1254577576670752,0.0009003483227937292,11.831596193378541,0.10748178937486204
bidisperse_a0.005_sr0.667_x8_N4000_L24_T800000_seed2.npz,8.0,4000,2,24.0,0.05,101,400000.0,4.808647164463752e-07,0.16807599415757013,0.008800721942137402,0.029320427134845704,4.345633219014034e-05,-0.21355391780906938,0.0010955868714168822,17.51406817797789,0.11252607619418428
bidisperse_a0.005_sr0.667_x8_N4000_L24_T800000_seed3.npz,8.0,4000,3,24.0,0.05,101,400000.0,-8.079123198867567e-08,0.19682086243424401,0.008570779508848018,0.02918126217420717,4.112378777179615e-05,-0.20884748958937688,0.0011076829300917148,16.75927284881879,0.09978704852586139
bidisperse_a0.005_sr0.667_x1.5_N16000_L48_T400000_seed1.npz,1.5,16000,1,48.0,0.05,101,200000.0,-8.343437545767617e-07,0.00590633621786501,0.0005010686580675341,0.025479905860533423,1.9984944065786016e-05,-0.03428230131222344,0.00034139637092324784,6.238840257813215,0.02882867898024154
bidisperse_a0.005_sr0.667_x1.5_N16000_L48_T400000_seed1_cont1.npz,1.5,16000,1,48.0,0.05,101,200000.0,-1.7749698677094606e-06,0.004228275581193926,0.0005209871072396123,0.02517100738569918,1.0581009849265915e-05,-0.03493766069108616,0.0003462889758182076,7.204683027728379,0.04553702893439245
bidisperse_a0.005_sr0.667_x1.5_N16000_L48_T400000_seed2.npz,1.5,16000,2,48.0,0.05,101,200000.0,-1.1161989624585172e-06,0.0060845040400936004,0.0004523719324092316,0.02509876161157309,1.6243043168985636e-05,-0.033591806390630564,0.00030009734115082524,5.653823066464366,0.030017202536797728
bidisperse_a0.005_sr0.667_x1.5_N16000_L48_T400000_seed2_cont1.npz,1.5,16000,2,48.0,0.05,101,200000.0,-1.5396793463993389e-06,0.005794072968360808,0.0004642407604363593,0.024999120436848956,1.916405623898299e-05,-0.03363596534303289,0.00030796172035515247,5.924225156484149,0.026619573400333472
bidisperse_a0.005_sr0.667_x1.5_N9000_L36_T400000_seed1.npz,1.5,9000,1,36.0,0.05,101,200000.0,-4.1726987178237933e-07,0.005369990013081418,0.0006073778931972391,0.02535079387348363,2.478984857899323e-05,-0.034446197468171166,0.00040264754855354526,6.140755194334426,0.03463325995401183
bidisperse_a0.005_sr0.667_x1.5_N9000_L36_T400000_seed1_cont1.npz,1.5,9000,1,36.0,0.05,101,200000.0,1.5895046176883847e-07,0.005547201771829895,0.0007251390668302692,0.025503595412005073,3.614226928315176e-05,-0.03455725860345435,0.00048173867961225043,6.253870247796113,0.03608887964456098
bidisperse_a0.005_sr0.667_x1.5_N9000_L36_T400000_seed2.npz,1.5,9000,2,36.0,0.05,101,200000.0,-2.3302928590245406e-06,0.004954083708752879,0.0005662661887664408,0.025014751411868572,2.2035302157675936e-05,-0.03421940464530093,0.00038074108270631465,5.767368291227272,0.03668349720774783
bidisperse_a0.005_sr0.667_x1.5_N9000_L36_T400000_seed2_cont1.npz,1.5,9000,2,36.0,0.05,101,200000.0,-1.701873309006352e-06,0.005567342142798156,0.0006148823322919168,0.02546450946947641,2.3316018942135192e-05,-0.0344852027756825,0.0004086020969783793,6.054729862804408,0.04020864434369993
bidisperse_a0.005_sr0.667_x1_N9000_L36_T400000_seed1.npz,1.0,9000,1,36.0,0.05,101,200000.0,-2.2639059285764292e-07,0.0018650783193964694,0.000375095598093655,0.026118150479770876,3.097856147621861e-05,-0.024253072160374405,0.0003742035203371684,4.570247789881078,0.03656628693063612
bidisperse_a0.005_sr0.667_x1_N9000_L36_T400000_seed1_cont1.npz,1.0,9000,1,36.0,0.05,101,200000.0,-2.192545370700945e-06,0.0023688319004088096,0.0004354978713821085,0.02572866482932327,1.7582679838843795e-05,-0.02335983292891446,0.00043648952515853425,5.12213379538327,0.03714124967751231
bidisperse_a0.005_sr0.667_x1_N9000_L36_T400000_seed2.npz,1.0,9000,2,36.0,0.05,101,200000.0,5.4183345189709126e-08,0.0028657152960200796,0.00035379606792162354,0.025986688844802954,3.387205945166753e-05,-0.023120973548782866,0.00035490063723212173,4.767617759400171,0.033340627680389985
bidisperse_a0.005_sr0.667_x1_N9000_L36_T400000_seed2_cont1.npz,1.0,9000,2,36.0,0.05,101,200000.0,9.154951636898898e-07,0.0017729727243958988,0.00039672103660498667,0.024891895097808866,1.9689219142909356e-05,-0.023118922373412964,0.00039793322727725534,4.991901171047774,0.036198517769821796
bidisperse_a0.005_sr0.667_x1.5_N4000_L30_T800000_seed1.npz,1.5,4000,1,30.0,0.05,101,400000.0,-8.119164269353486e-07,0.013138496274229096,0.0007279386817983556,0.021057384602128904,4.915152010306236e-05,-0.022827079387040625,0.00047739829816539594,4.277584587547875,0.04733607496982082
bidisperse_a0.005_sr0.667_x1.5_N4000_L30_T800000_seed1_cont1.npz,1.5,4000,1,30.0,0.05,101,400000.0,7.470100171339903e-07,0.011691606944927392,0.0006537824912290641,0.020332389928578932,5.17860418791054e-05,-0.022704180262916793,0.0004514446631008493,4.378850475536519,0.04878867424527139
bidisperse_a0.005_sr0.667_x1.5_N4000_L30_T800000_seed2.npz,1.5,4000,2,30.0,0.05,101,400000.0,-4.869493530775011e-07,0.011006937600754073,0.0006685447927731079,0.020549499320744038,4.376609842966247e-05,-0.023486290580613335,0.000452909229127908,4.256746686336039,0.042072712045826514
bidisperse_a0.005_sr0.667_x1.5_N4000_L30_T800000_seed2_cont1.npz,1.5,4000,2,30.0,0.05,101,400000.0,-6.357948015259068e-07,0.01176400881956424,0.0007424830995486667,0.02091867275478837,5.037304931667852e-05,-0.0235353365858064,0.0004940300438139216,4.219072603832038,0.046451021684111034
bidisperse_a0.005_sr0.667_x1.5_N4000_L38_T800000_seed1.npz,1.5,4000,1,38.0,0.05,101,400000.0,-5.115305241850915e-07,0.015813826161307498,0.0003889794659258239,0.01297666385235013,4.3773247036871796e-05,-0.008922445004320202,0.0002629201215770875,2.9048414886188727,0.038034288307002284
bidisperse_a0.005_sr0.667_x1.5_N4000_L38_T800000_seed1_cont1.npz,1.5,4000,1,38.0,0.05,101,400000.0,4.035150554233948e-07,0.015430751031544319,0.0003729142587901044,0.012550433094342625,2.731517812998227e-05,-0.008538482287151062,0.0002555970831294177,3.1364840419185582,0.040572045204698946
bidisperse_a0.005_sr0.667_x1.5_N4000_L38_T800000_seed2.npz,1.5,4000,2,38.0,0.05,101,400000.0,3.693856240784978e-07,0.01694888325906716,0.0002915860197127817,0.011962553897092748,4.303504393651199e-05,-0.0066445753395943516,0.00020333879768840042,2.7106114944600237,0.034705614967253336
bidisperse_a0.005_sr0.667_x1.5_N4000_L48_T800000_seed1.npz,1.5,4000,1,48.0,0.05,101,400000.0,-9.545663953041542e-07,0.015421827774194503,0.0001347385038172358,0.009025969593276636,2.6768261438538216e-05,-0.0032577358737852866,9.020655621916427e-05,2.3650183785480663,0.031176533678525905
bidisperse_a0.005_sr0.667_x1.5_N4000_L38_T800000_seed2_cont1.npz,1.5,4000,2,38.0,0.05,101,400000.0,1.8200931350540756e-07,0.01717435049892899,0.0002753896495952458,0.011960634635591397,3.885241197286103e-05,-0.006491384954101101,0.0001780647552025705,2.819874205551287,0.035923727758895366
bidisperse_a0.005_sr0.667_x1.5_N4000_L48_T800000_seed2.npz,1.5,4000,2,48.0,0.05,101,400000.0,-1.601514451531367e-06,0.01525727560441538,0.0001653485774557144,0.008845789198425215,3.172248656686803e-05,-0.003097166728027573,0.00010125030319486581,2.4138407961449007,0.0333828487642289
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,0.25,4000,1,24.0,0.05,101,200000.0,-7.649539839713458e-07,-0.00019906846822202945,0.00012471604731399525,0.02989336600311732,2.939406055200653e-05,-0.008269615373667447,0.0004985918247917008,4.502472968470256,0.04161608508286871
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed2.npz,0.25,4000,2,24.0,0.05,101,200000.0,-1.700759838295892e-06,0.00026420070724386143,0.00012276613287537778,0.029268406239782087,8.229255317651645e-05,-0.006260298730970075,0.0004951384228859936,4.38866624053891,0.047560189091324104
