t,Q,n_cl,lcf,nullQ,ARI,edge_jac,sigv2,file,case,seed,alpha,s_ratio,ari_floor
20000.0,0.8748765086979959,17,0.586,0.5528877712765028,0.6164547534439097,0.4278523489932886,3.0219091975422264e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
21000.0,0.8715361370602976,26,0.514,,0.5799352379591307,0.46513569937369514,2.6197385257227515e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
22000.0,0.8707680644571878,21,0.507,,0.503437716579543,0.459106239460371,3.441503808953061e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
23000.0,0.8683145631189731,17,0.884,,0.48995597074677855,0.44113950565563465,3.193296064574897e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
24000.0,0.8749985923915224,15,0.497,0.551618999990664,0.49275248369767155,0.44156928213689484,3.657089608723817e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
25000.0,0.8665645806010956,18,0.487,,0.5674074859324465,0.44499999999999995,4.3058013809719156e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
26000.0,0.8682195427289741,22,0.506,,0.47839051923837533,0.43044397463002115,4.1370761513978157e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
27000.0,0.8628212640595713,21,0.475,,0.49638815712450723,0.4482758620689655,3.026668514115114e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
28000.0,0.8667499155338539,20,0.483,0.5425973739484476,0.5406131970870318,0.41174004192872116,3.2871334178122834e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
29000.0,0.867990470568619,21,0.496,,0.548357376279497,0.4108361774744027,3.6858363848232907e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
30000.0,0.863757847248308,23,0.496,,0.4791545302042656,0.44312896405919666,3.141976514746443e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
31000.0,0.8672047986559446,21,0.49,,0.43458813993040385,0.456422965716646,3.638446428694596e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
32000.0,0.8704016066306689,25,0.479,0.5483085541420322,0.49369423024841264,0.43882206553297387,3.555688538795991e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
33000.0,0.8642927547180467,19,0.832,,0.5421320416434161,0.4636550308008214,3.6181159421994785e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
34000.0,0.8591123132118199,22,0.862,,0.5298811802933309,0.4428152492668622,3.676434857451994e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
